text,label
Your account has been suspended. Click here to verify your identity.,1
"Hi John, just checking in on the meeting schedule.",0
You've won a free iPhone! Claim now.,1
Please see the attached file for project details.,0
Urgent: Update your banking information immediately!,1
Lunch at 1 PM today?,0
Security Alert: Your password has expired. Reset here.,1
Monthly report attached. Let me know your feedback.,0
Click this link to receive your refund.,1
Team meeting has been postponed to Friday.,0
